xMean,yMean,zMean,xVar,yVar,zVar,s2Mean,s2Var,tilt,energy,kurtosis,tag
2.254846,-9.863072,-0.937663,22.273043,55.240559,58.346733,238.558456,68113.257813,0.951506,59401.027344,7.656547,running
2.105069,-9.781199,-0.931177,22.158081,54.358837,58.284252,235.230042,67665.085938,0.956670,58572.261719,7.916987,running
2.209347,-9.938595,-1.093754,22.086260,52.564434,57.908081,236.879578,67142.820313,0.953968,58982.992188,8.018298,running
2.022354,-10.038245,-0.988698,22.635799,51.255550,54.417870,233.627716,62389.464844,0.961727,58173.292969,9.128367,running
1.882414,-10.112123,-0.925962,21.839876,50.454491,51.491970,229.945114,59526.929688,0.967050,57256.332031,9.967648,running
1.991968,-10.273075,-1.006799,21.966204,52.256390,50.824181,235.062225,60682.062500,0.964398,58530.496094,9.300667,running
1.992924,-10.141844,-0.914543,21.814867,55.099369,51.306126,235.370544,60527.289063,0.963488,58607.265625,9.348102,running
1.969699,-9.968837,-0.960109,21.739532,57.682777,54.881958,237.944122,63011.339844,0.963107,59248.085938,8.632048,running
2.104481,-9.913428,-1.053914,21.617886,57.480755,55.987701,238.359467,63246.511719,0.957769,59351.515625,8.530432,running
2.180357,-9.773637,-1.048566,22.658535,56.798683,56.091663,236.381927,63918.523438,0.953664,58859.109375,8.413179,running
2.035584,-9.828395,-1.007750,22.224674,57.486427,56.520237,237.440735,64092.367188,0.959681,59122.761719,8.328688,running
2.178387,-9.931745,-1.104925,22.189796,55.778683,56.000923,238.037155,63886.925781,0.955107,59271.269531,8.375499,running
2.104400,-9.983067,-0.999821,22.168257,53.594585,51.522034,231.863449,54806.394531,0.958323,57734.023438,5.858368,running
1.927545,-10.025125,-0.959780,21.973389,51.661911,48.348061,226.633194,48273.621094,0.964963,56431.687500,4.819825,running
1.788810,-10.088887,-0.958150,21.404427,51.219646,46.859325,224.907089,45220.332031,0.969972,56001.894531,4.812662,running
1.920781,-10.205005,-0.927984,21.349003,51.487896,47.101948,228.149841,45338.476563,0.966351,56809.339844,4.668059,running
1.877763,-10.125559,-0.808612,21.491640,53.047180,48.154316,228.907181,45080.109375,0.967287,56997.917969,4.722300,running
2.016723,-9.895661,-0.845292,21.400520,54.218105,50.864964,228.681427,47474.804688,0.960887,56941.707031,4.493640,running
2.228839,-9.891670,-0.977699,22.783026,54.484276,52.178608,232.694809,49806.117188,0.952795,57941.042969,4.093263,running
2.155066,-9.770744,-0.872323,22.046446,54.687393,53.073181,230.158417,49634.546875,0.954637,57309.480469,4.215906,running
2.119237,-9.886996,-0.939671,22.740772,54.179508,52.901329,232.427063,49324.679688,0.956998,57874.382813,4.225149,running
2.026426,-10.044234,-0.934270,22.975889,52.568581,51.987717,232.885910,49090.285156,0.961625,57988.636719,4.273632,running
1.869283,-10.075781,-0.735241,22.376190,51.157352,47.846947,226.449188,43436.992188,0.967262,56385.890625,4.531024,running
1.798059,-10.189198,-0.819237,22.196859,52.134674,47.802711,229.367661,44018.332031,0.970242,57112.585938,4.255973,running
1.975640,-10.223249,-0.796213,22.036915,51.982689,47.836750,230.418915,44000.710938,0.964624,57374.339844,4.227004,running
1.866764,-10.158421,-0.704306,22.298212,53.206806,48.331028,230.513077,43964.289063,0.967850,57397.777344,4.234402,running
1.930126,-9.950778,-0.803426,22.192514,54.420197,52.579510,232.062241,49396.855469,0.964375,57783.523438,5.443669,running
2.097675,-9.906560,-0.757783,22.781601,53.940651,55.633350,234.938461,50050.339844,0.957970,58499.703125,5.152343,running
1.942004,-9.833476,-0.758720,22.309057,53.550549,55.988472,232.362839,49625.238281,0.963141,57858.378906,5.366160,running
1.991528,-9.913156,-0.855225,22.233786,52.723465,55.821533,233.221832,49483.902344,0.961930,58072.265625,5.381591,running
1.970554,-10.061203,-0.821933,22.250729,51.068768,53.021908,231.620468,47917.359375,0.963715,57673.519531,5.793697,running
1.774623,-10.072980,-0.709745,22.131887,48.904011,49.238811,224.909637,40740.437500,0.970336,56002.519531,5.163673,running
1.755212,-10.226763,-0.780454,22.549612,50.440880,48.245049,229.025208,41520.007813,0.971784,57027.300781,4.759470,running
1.879120,-10.244286,-0.785501,23.155794,50.280296,48.121185,230.162582,42029.757813,0.967961,57310.511719,4.590763,running
1.784321,-10.112218,-0.630595,23.367331,52.529781,48.912064,230.146347,42029.273438,0.970247,57306.464844,4.591001,running
1.921943,-9.981015,-0.743625,23.688284,53.471710,52.193157,232.701172,46583.859375,0.964863,57942.617188,4.164003,running
2.129685,-9.973167,-0.878054,24.139786,53.955814,54.400021,236.734116,49267.726563,0.957299,58946.812500,4.015219,running
1.998239,-9.780324,-0.799430,22.918274,52.787319,55.419651,230.885422,48060.687500,0.960701,57490.484375,4.483789,running
